ticket,category
Permission denied error on shared folder.,Access
Laptop battery drains too fast.,Hardware
VPN connection drops frequently.,Network
Outlook crashes on launch.,Software
Mouse stopped working suddenly.,Hardware
Zoom app fails to connect to audio.,Software
Permission denied error on shared folder.,Access
Need access to HR portal.,Access
Slow internet speed on office network.,Network
Unable to login to GitLab.,Access
Unable to install Adobe Reader.,Software
Slow internet speed on office network.,Network
MS Word is not responding.,Software
MS Word is not responding.,Software
Zoom app fails to connect to audio.,Software
Getting error 0x80004005 while updating Windows.,Software
Getting error 0x80004005 while updating Windows.,Software
Laptop fan making loud noise.,Hardware
Need help with IT onboarding process.,Other
Outlook crashes on launch.,Software
Permission denied error on shared folder.,Access
Monitor flickers occasionally.,Hardware
Account locked after password attempts.,Access
Facing general system lag.,Other
Need access to HR portal.,Access
Need training on using internal tools.,Other
Slow internet speed on office network.,Network
Monitor flickers occasionally.,Hardware
Mouse stopped working suddenly.,Hardware
Account locked after password attempts.,Access
Need help with IT onboarding process.,Other
Outlook crashes on launch.,Software
Wi-Fi keeps disconnecting randomly.,Network
Getting error 0x80004005 while updating Windows.,Software
Zoom app fails to connect to audio.,Software
Keyboard keys are unresponsive.,Hardware
Outlook crashes on launch.,Software
VPN connection drops frequently.,Network
Account locked after password attempts.,Access
MS Word is not responding.,Software
Getting error 0x80004005 while updating Windows.,Software
Account locked after password attempts.,Access
Unable to login to GitLab.,Access
VPN connection drops frequently.,Network
Account locked after password attempts.,Access
MS Word is not responding.,Software
Network timeout while accessing server.,Network
Permission denied error on shared folder.,Access
Keyboard keys are unresponsive.,Hardware
Report generation takes too long.,Other
Laptop battery drains too fast.,Hardware
Unable to login to GitLab.,Access
Account locked after password attempts.,Access
Requesting software recommendations.,Other
Keyboard keys are unresponsive.,Hardware
Network timeout while accessing server.,Network
Report generation takes too long.,Other
Unable to install Adobe Reader.,Software
Need access to HR portal.,Access
Wi-Fi keeps disconnecting randomly.,Network
Permission denied error on shared folder.,Access
Need help with IT onboarding process.,Other
Monitor flickers occasionally.,Hardware
VPN connection drops frequently.,Network
Need help with IT onboarding process.,Other
Slow internet speed on office network.,Network
Requesting access to production server.,Access
MS Word is not responding.,Software
Outlook crashes on launch.,Software
Laptop battery drains too fast.,Hardware
Unable to access internal websites.,Network
Wi-Fi keeps disconnecting randomly.,Network
Network timeout while accessing server.,Network
Slow internet speed on office network.,Network
Zoom app fails to connect to audio.,Software
Unable to login to GitLab.,Access
Laptop battery drains too fast.,Hardware
Laptop battery drains too fast.,Hardware
VPN connection drops frequently.,Network
Requesting access to production server.,Access
MS Word is not responding.,Software
Wi-Fi keeps disconnecting randomly.,Network
Permission denied error on shared folder.,Access
Monitor flickers occasionally.,Hardware
Laptop fan making loud noise.,Hardware
Laptop fan making loud noise.,Hardware
Wi-Fi keeps disconnecting randomly.,Network
Unable to login to GitLab.,Access
Need access to HR portal.,Access
Requesting software recommendations.,Other
Unable to install Adobe Reader.,Software
Unable to access internal websites.,Network
Laptop fan making loud noise.,Hardware
Laptop fan making loud noise.,Hardware
Need access to HR portal.,Access
Network timeout while accessing server.,Network
Monitor flickers occasionally.,Hardware
Keyboard keys are unresponsive.,Hardware
Account locked after password attempts.,Access
Laptop battery drains too fast.,Hardware
Keyboard keys are unresponsive.,Hardware
Report generation takes too long.,Other
Slow internet speed on office network.,Network
Unable to login to GitLab.,Access
Report generation takes too long.,Other
Slow internet speed on office network.,Network
Wi-Fi keeps disconnecting randomly.,Network
Requesting software recommendations.,Other
Need access to HR portal.,Access
Outlook crashes on launch.,Software
Monitor flickers occasionally.,Hardware
Unable to install Adobe Reader.,Software
MS Word is not responding.,Software
Outlook crashes on launch.,Software
Need access to HR portal.,Access
Need training on using internal tools.,Other
Laptop battery drains too fast.,Hardware
Report generation takes too long.,Other
Account locked after password attempts.,Access
Laptop fan making loud noise.,Hardware
Permission denied error on shared folder.,Access
Need help with IT onboarding process.,Other
Zoom app fails to connect to audio.,Software
Unable to login to GitLab.,Access
Monitor flickers occasionally.,Hardware
Getting error 0x80004005 while updating Windows.,Software
Unable to install Adobe Reader.,Software
Getting error 0x80004005 while updating Windows.,Software
Need access to HR portal.,Access
MS Word is not responding.,Software
Mouse stopped working suddenly.,Hardware
Requesting software recommendations.,Other
Keyboard keys are unresponsive.,Hardware
